ï»¿ASC_Name;Provider_id;NPI;City;State;Zip_Code;Year;ASC_1_Measure_Rate;ASC_1_Footnote;ASC_2_Measure_Rate;ASC_2_Footnote;ASC_3_Measure_Rate;ASC_3_Footnote;ASC_4_Measure_Rate;ASC_4_Footnote;ASC_5_Measure_Rate;ASC_5_Footnote;ASC_1_5_Encounter_Start_Date;ASC_1_5_Encounter_End_Date;ASC_6_SSChecklist;ASC_6_Footnote;ASC_7_Volume;ASC_7_Respiratory;ASC_7_Eye;ASC_7_Genitourinary;ASC_7_Musculoskeletal;ASC_7_Gastrointestinal;ASC_7_Nervous_System;ASC_7_Skin;ASC_7_Footnote;ASC_6_7_Encounter_Start_Date;ASC_6_7_Encounter_End_Date;ASC_8_rate;ASC_8_Footnote;ASC_8_Encounter_Date;ASC_9_rate;ASC_9_Footnote;ASC_10_rate;ASC_10_Footnote;ASC_9_10_Encounter_Start_Date;ASC_9_10_Encounter_End_Date;ASC_11_rate;ASC_11_Footnote;ASC_11_Encounter_Start_Date;ASC_11_Encounter_End_Date;ASC_12_Total_Cases;ASC_12_Performance_Category;ASC_12_Interval_Lower_Limit;ASC_12_Interval_Upper_Limit;ASC_12_Footnote;ASC_12_Encounter_Start_Date;ASC_12_Encounter_End_Date;ASC_12_RSHV_Rate
Midwest Surgery Center, LLC;26C0001147;1003171745;Cape Girardeau;MO;63703;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,543;0;0;0;0;0;2,543;0;;01/01/16;12/31/2016;39.47;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Rolling Oaks Surgery Center LLC;;1003216276;Thousand Oaks;CA;91361;2016;0.000;1;0.000;1;0.000;1;0.000;1;1,000.00;1;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Central Ohio Endoscopy Center, LLC;36C0001284;1003220187;Columbus;OH;43202;2016;0.468;;0.000;;0.000;;1.406;;142.86;1;01/01/16;12/31/2016;Yes;;9,503;0;0;0;0;9,503;0;0;;01/01/16;12/31/2016;82.17;;2016/2017;88.61;;79.99;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;988;No Different than the National Rate;9.0;16.3;;01/01/16;12/31/2016;12.1
CENTER FOR SOUTHSIDE SURGERY, LLC;;1003292483;GREENWOOD;IN;46143;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Surgery Center of Midwest City;37C0001012;1003800798;Midwest City;OK;73110;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;992;2;205;0;327;440;9;9;;01/01/16;12/31/2016;92.11;;2016/2017;96.83;;N/A;1;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;85;No Different than the National Rate;8.5;16.8;;01/01/16;12/31/2016;12.0
Minnesota Eye Institute;24C0001043;1003802950;Alexandria;MN;56308;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,256;0;1,256;0;0;0;0;0;;01/01/16;12/31/2016;61.54;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Lakeview Surgery Center, LLC;16C0001014;1003807835;West Des Moines;IA;50266;2016;0.000;;0.000;;0.978;;2.933;;983.46;;01/01/16;12/31/2016;Yes;;3,527;450;16;406;611;196;1,131;717;;01/01/16;12/31/2016;88.99;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
University Surgical Center, Inc.;10C0001203;1003813221;Winter Park;FL;32792;2016;5.736;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;3,561;733;0;0;0;2,799;0;29;;01/01/16;12/31/2016;40.23;;2016/2017;93.94;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;258;No Different than the National Rate;9.0;17.4;;01/01/16;12/31/2016;12.6
Dothan Surgery Center;01C0001039;1003815242;Dothan;AL;36301;2016;0.000;;0.354;;0.000;;0.708;;982.53;;01/01/16;12/31/2016;Yes;;13,599;622;854;0;1,446;9,444;1,188;45;;01/01/16;12/31/2016;52.71;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1670;No Different than the National Rate;12.0;19.7;;01/01/16;12/31/2016;15.3
Sagamore Surgical Services, Inc.;15C0001041;1003816307;Lafayette;IN;47906;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;1,226;674;1;0;201;274;18;58;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Northridge Facial Plastic Surgery Medical Group;05C0001366;1003824434;Northridge;CA;91325;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;202;165;0;0;0;0;37;0;;01/01/16;12/31/2016;75.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Augusta Aesthetic Surgery, LLC;11C0001194;1003841511;Augusta;GA;30904;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Summit Surgery Center;19C0001097;1003842527;Covington;LA;70711;2016;1.042;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;4,443;0;0;0;126;0;4,317;0;;01/01/16;12/31/2016;86.96;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Ambulatory Center for Endoscopy;31C0001203;1003842626;North Bergen;NJ;7047;2016;0.000;;0.000;;0.000;;0.786;;1,000.00;1;01/01/16;12/31/2016;Yes;;6,859;0;0;0;0;6,859;0;0;;01/01/16;12/31/2016;88.89;;2016/2017;69.35;;44.84;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;463;No Different than the National Rate;9.9;18.5;;01/01/16;12/31/2016;13.5
Westside Outpatient Center;10C0001355;1003847500;Royal Palm Beach;FL;33411;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;4,903;0;0;0;1,014;0;3,871;18;;01/01/16;12/31/2016;38.95;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Silver Spring Ophthalmology LLC;21C0001177;1003853136;Silver Spring;MD;20910;2016;0.000;;0.000;;0.923;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,704;0;1,644;0;0;0;0;60;;01/01/16;12/31/2016;65.63;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Ohio Eye Associates Eye Surgery & Laser Center;36C0001024;1003855594;Mansfield;OH;44906;2016;0.569;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;3,162;0;3,162;0;0;0;0;0;;01/01/16;12/31/2016;43.48;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Piedmont Endoscopy Center;34C0001028;1003858721;Winston Salem;NC;27103;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;94.74;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Surgery Center of Pinehurst;34C0001114;1003860917;Pinehurst;NC;28374;2016;0.000;;0.000;;0.000;;1.256;;999.04;;01/01/16;12/31/2016;Yes;;5,807;250;202;240;1,708;69;3,184;154;;01/01/16;12/31/2016;98.28;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Physicians Surgery Center of Chattanooga;44C0001060;1003861998;Chattanooga;TN;37412;2016;0.000;;0.000;;0.000;;0.755;;1,000.00;;01/01/16;12/31/2016;Yes;;3,69;2;2,361;108;26;1,045;0;148;;01/01/16;12/31/2016;91.04;;2016/2017;78.57;;64.52;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;42;No Different than the National Rate;9.0;17.9;;01/01/16;12/31/2016;12.7
Pinellas Surgery Center LTD;10C0001250;1003870825;St Petersburg;FL;33703;2016;0.000;;0.000;;0.000;;6.085;;995.56;;01/01/16;12/31/2016;Yes;;1,74;0;0;0;973;0;767;0;;01/01/16;12/31/2016;53.85;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Memphis Surgery Center;44C0001004;1003871104;Memphis;TN;38119;2016;0.000;;0.000;;0.000;;0.000;;987.80;;01/01/16;12/31/2016;Yes;;1,473;154;526;18;514;87;41;133;;01/01/16;12/31/2016;61.40;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Wildcreek Surgery Center;29C0001035;1003875873;Sparks;NV;89431;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,534;0;1,534;0;0;0;0;0;;01/01/16;12/31/2016;73.33;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;100.00;;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Central Texas Endoscopy Center;45C0001265;1003887225;Bryan;TX;77802;2016;0.000;;0.000;;0.000;;1.170;;N/A;5;01/01/16;12/31/2016;Yes;;4,502;0;0;0;0;4,502;0;0;;01/01/16;12/31/2016;97.56;;2016/2017;97.85;;78.59;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1006;No Different than the National Rate;9.6;16.9;;01/01/16;12/31/2016;12.7
Austin Endoscopy II;45C0001295;1003887845;Austin;TX;78745;2016;0.000;;0.000;;0.000;;0.411;;0.00;1;01/01/16;12/31/2016;Yes;;13,213;0;0;0;0;13,213;0;0;;01/01/16;12/31/2016;72.73;;2016/2017;89.58;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1350;No Different than the National Rate;7.9;14.6;;01/01/16;12/31/2016;10.7
Louisville Endoscopy Center;18C0001029;1003888595;Louisville;KY;40217;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;7,559;0;0;0;0;7,559;0;0;;01/01/16;12/31/2016;67.24;;2016/2017;100.00;;90.40;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;793;No Different than the National Rate;8.1;15.1;;01/01/16;12/31/2016;11.2
Digestive Endoscopy Center LLC;36C0001084;1003888710;Kettering;OH;45429;2016;0.000;;0.699;;0.000;;0.699;;N/A;5;01/01/16;12/31/2016;Yes;;7,108;0;0;0;0;7,108;0;0;;01/01/16;12/31/2016;81.05;;2016/2017;80.95;;92.47;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;573;No Different than the National Rate;8.6;16.0;;01/01/16;12/31/2016;11.8
The Endoscopy Group, LLC;10C0001252;1003889346;Pensacola;FL;32503;2016;0.226;;0.226;;0.000;;0.226;;N/A;5;01/01/16;12/31/2016;Yes;;18,646;0;0;0;0;18,646;0;0;;01/01/16;12/31/2016;63.72;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;2035;No Different than the National Rate;9.1;15.0;;01/01/16;12/31/2016;11.8
Waldorf Endoscopy Center;21C0001062;1003889379;Waldorf;MD;20603;2016;0.000;;0.000;;0.000;;1.664;;N/A;5;01/01/16;12/31/2016;Yes;;6,298;0;0;0;0;6,298;0;0;;01/01/16;12/31/2016;84.85;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1033;No Different than the National Rate;10.2;18.1;;01/01/16;12/31/2016;13.6
Community Surgery Center Northwest;15C0001034;1003897448;Indianapolis;IN;46260;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;918;0;0;0;852;36;0;30;;01/01/16;12/31/2016;97.47;;2016/2017;N/A;1;61.54;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Oregon Trail Eye Surgery Center, Inc;28C0001036;1003909789;Scottsbluff;NE;69361;2016;3.102;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;1,102;0;1,102;0;0;0;0;0;;01/01/16;12/31/2016;50.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;100.00;;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Mifflin County Community Surgery Center;39C0001072;1003935354;Lewistown;PA;17044;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;1,196;0;1,073;0;123;0;0;0;;01/01/16;12/31/2016;33.33;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Vail Valley Surgery Center Vail;06C0001074;1003944125;Vail;CO;81658;2016;0.000;;0.000;;0.000;;8.264;;1,000.00;;01/01/16;12/31/2016;Yes;;2,652;0;0;0;2,576;0;76;0;;01/01/16;12/31/2016;98.68;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Pacific Heights Surgery Center of San Francisco, LP;05C0001661;1003965328;San Francisco;CA;94115;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,015;74;0;0;880;0;60;1;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Orthopaedic Surgery Center, LLC;52C0001074;1003976929;Waukesha;WI;53188;2016;23.866;;0.000;;0.000;;1.224;;978.72;;01/01/16;12/31/2016;Yes;;4,271;0;0;0;4,271;0;0;0;;01/01/16;12/31/2016;68.83;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Piedmont Eye;11C0001203;1003993965;Atlanta;GA;30327;2016;0.000;;0.000;;0.000;;0.000;;979.17;;01/01/16;12/31/2016;Yes;;5,304;0;5,304;0;0;0;0;0;;01/01/16;12/31/2016;88.06;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Bay Area Endoscopy and Surgery Center;10C0001196;1013011162;St. Petersburg;FL;33709;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;757;0;0;0;0;757;0;0;;01/01/16;12/31/2016;38.46;;2016/2017;100.00;;95.24;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;128;No Different than the National Rate;8.6;17.2;;01/01/16;12/31/2016;12.2
Phoenix Eye Surgical Center;03C0001023;1013021682;Phoenix;AZ;85012;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;0;0;0;0;0;0;0;0;;01/01/16;12/31/2016;44.44;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Gastroenterology Diagnostic Center Medical Group;05C0001186;1013048461;Monterey Park;CA;91754;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;4,578;0;0;0;0;4,578;0;0;;01/01/16;12/31/2016;57.89;;2016/2017;78.93;;61.94;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;153;No Different than the National Rate;8.9;17.8;;01/01/16;12/31/2016;12.6
Renaissance Surgery CTR;05C0001813;1013068642;Fresno;CA;93720;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;664;0;0;0;130;0;189;345;;01/01/16;12/31/2016;91.84;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Renaissance Surgery Center;05C0001702;1013068642;Palm Desert;CA;92260;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;664;0;0;0;130;0;189;345;;01/01/16;12/31/2016;87.50;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Clearer Vision, LLC;44C0001108;1013096700;Cookeville;TN;38501;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,839;0;2,839;0;0;0;0;0;;01/01/16;12/31/2016;83.33;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
